****************************************
Report : report_rtl_metrics
      -view hier
Design : cpu
Version: W-2024.09-SP2
Date   : Sat Oct 11 11:11:46 2025
****************************************


gated_registers   icg_cells   latch_cells   reg_cells   sequential_cells   combinational_cells   total_power   cell_name
---------------   ---------   -----------   ---------   ----------------   -------------------   -----------   -----------------------------------
  1461                92           0          1461        1553              25344                3.90e-03      cpu
   158                10           0           158         168                164                8.41e-04      cpu/id_ex_pipeline_reg_inst
   992                62           0           992        1054               1556                7.70e-04      cpu/reg_files_inst
   111                 7           0           111         118                128                5.87e-04      cpu/ex_mem_pipeline_reg_inst
   104                 7           0           104         111                110                5.30e-04      cpu/mem_wb_pipeline_reg_inst
    64                 4           0            64          68                 68                3.81e-04      cpu/if_id_pipeline_reg_inst
     0                 0           0             0           0              22144                2.70e-04      cpu/alu_inst
    32                 2           0            32          34                 54                1.90e-04      cpu/pc_inst
     0                 0           0             0           0                185                1.13e-04      cpu/wb_mux
     0                 0           0             0           0                108                5.92e-05      cpu/alu_mux_2
     0                 0           0             0           0                 53                2.84e-05      cpu/alu_mux_1
     0                 0           0             0           0                 74                2.33e-05      cpu/sign_extender_inst
     0                 0           0             0           0                 78                2.26e-05      cpu/pc_mux
     0                 0           0             0           0                 57                2.20e-05      cpu/control_unit_inst
     0                 0           0             0           0                133                1.76e-05      cpu/branch_logic_inst
     0                 0           0             0           0                 44                1.27e-05      cpu/hazard_unit_inst
     0                 0           0             0           0                 68                4.81e-06      cpu/forwarding_mux_1
     0                 0           0             0           0                 30                4.29e-06      cpu/pc_plus_4
     0                 0           0             0           0                154                3.17e-06      cpu/forwarding_mux_2
     0                 0           0             0           0                 30                1.23e-06      cpu/pc_plus_4_ma
1
