****************************************
Report : report_rtl_metrics
      -list_attributes
Design : cpu
Version: W-2024.09-SP2
Date   : Wed May 14 16:38:22 2025
****************************************

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COLUMN NAME                        ATTRIBUTE NAME                     VIEW           DESCRIPTION
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
average_cg                         average_cg                         hier           Average Clock-Gating Efficiency of all registers under that hierarchy
average_dacgee                     average_dacgee                     hier           Average Data-aware Clock-Gating Efficiency per enable of all registers under that hierarchy
average_data_aware_cg              average_data_aware_cg              hier           Average Data-aware Clock-Gating Efficiency of all registers under that hierarchy
average_glitch_toggle_rate         average_glitch_toggle_rate         hier           Average Glitch Toggle Rate of all nets under that hierarchy
average_roade                      average_roade                      hier           Average Q by Clock toggle rate per enable of all registers under that hierarchy
average_roadf                      average_roadf                      hier           Average Q by Clock toggle rate of all registers under that hierarchy
both_gated_registers               both_gated_registers               hier           Total Number of Registers under that hierarchy having both Inferred and Instantiated type of clock gating
cell_area                          cell_area                          hier           Total area of all cells under that hierarchy
combinational_annotation           combinational_annotation           hier           Annotation of all combinational output nets under that hierarchy
combinational_average_toggle_rate  combinational_average_toggle_rate  hier           Average toggle rate of all Combinational output nets under that hierarchy
combinational_cells                combinational_cells                hier           Total number of Combinational cells under that hierarchy
combinational_internal             combinational_internal             hier           Total internal power of all combinational cells under that hierarchy
combinational_leakage              combinational_leakage              hier           Total leakage power of all combinational cells under that hierarchy
combinational_switching            combinational_switching            hier           Total switching power of all combinational cells under that hierarchy
gated_register_percentage          gated_register_percentage          hier           Percentage of Gated Registers under that hierarchy
gated_registers                    gated_registers                    hier           Total number of Clock-gated Registers under that hierarchy
icg_cells                          icg_cells                          hier           Total Clock-Gating Cells under that hierarchy
inferred_gated_registers           inferred_gated_registers           hier           Total number of registers under that hierarchy with Inferred type clock gating
instantiated_gated_registers       instantiated_gated_registers       hier           Total number of registers under that hierarchy with Instantiated type clock gating
